# MAC address prefix -> vendor name, used by lsnet.
#
# Derived from Wireshark's "manuf" database
# (https://www.wireshark.org/download/automated/data/manuf), which Wireshark
# generates from the IEEE OUI registries (https://standards-oui.ieee.org/).
# Vendor names were shortened by scripts/update-oui.py.
#
# Wireshark: Copyright 1998 Gerald Combs <gerald@wireshark.org> and contributors.
# SPDX-License-Identifier: GPL-2.0-or-later
#
# Format: one assignment per line, HEXPREFIX, a tab, then the vendor name.
# HEXPREFIX is 6, 7 or 9 hex digits (24, 28 or 36-bit assignments).
000000	Officially Xerox but 0:0
0004DD	Cisco
0004DE	Cisco
0004DF	Teracom Telematica
0004E0	Procket
0004E1	Infinior Microsystems
0004E2	SMC
0004E3	Accton
0004E4	Daeryung Ind
0004E5	Glonet
0004E6	Banyan Network Private
0004E7	Lightpointe
0004E8	IER
0004E9	Infiniswitch
0004EA	Hewlett Packard
0004EB	Paxonet
0004EC	Memobox
0004ED	Billion Electric
0004EE	Lincoln Electric
0004EF	Polestar
0004F0	International Computers
0004F1	WhereNet
0004F2	Polycom
0004F3	FS FORTH-SYSTEME
0004F4	Infinite
0004F5	SnowShore
0004F6	Amphus
0004F7	Omega Band
0004F8	QUALICABLE TV Industria
0004F9	Xtera
0004FA	NBS
0004FB	Commtech
0004FC	Stratus
0004FD	Japan Control Engineerin
0004FE	Pelago
0004FF	Acronet
000500	Cisco
000501	Cisco
000502	Apple
000503	Iconag
000504	Naray Information & Comm
000505	Systems Integration Solu
000506	Reddo
000507	Fine Appliance
000508	Inetcam
000509	AVOC Nishimura
00050A	ICS
00050B	SICOM
00050C	Network Photonics
00050D	Midstream
00050E	3ware
00050F	Tanaka S/S
000510	Infinite Shanghai Commun
000511	Complementary
000512	Zebra
000513	VTLinx Multimedia
000514	KDT
000515	Nuark
000516	SMART Modular
000517	Shellcomm
000518	Jupiters
000519	Siemens Building Technol
00051A	3Com Europe
00051B	Magic Control
00051C	Xnet
00051D	Airocon
00051E	Brocade
00051F	Taijin Media
000520	Smartronix
000521	Schneider Electric
000522	LEA*D
000523	AVL List
000524	BTL System (HK)
000525	Puretek
000526	IPAS
000527	SJ Tek
000528	New Focus
000529	Broadan Communication
00052A	Ikegami Tsushinki
00052B	HORIBA
00052C	Supreme Magic
00052D	Zoltrix
00052E	Cinta
00052F	Leviton Network Solution
000530	Andiamo
000531	Cisco
000532	Cisco
000533	Brocade
000534	Northstar Engineering
000535	Chip PC
000536	Danam
000537	Nets
000538	Merilus
000539	A Brand New World in Swe
00053A	Willowglen Services Pte
00053B	Harbour Networks Ltd. Co
00053C	Xircom
00053D	Agere
00053E	KID Systeme
00053F	VisionTek
000540	Tokyo Electron Device
000541	Advanced
000542	Otari
000543	IQ Wireless
000544	Valley
000545	Internet Photonics
000546	KDDI Network & Solultion
000547	Starent
000548	Disco
000549	Salira Optical Network
00054A	Ario Data
00054B	Eaton Automation
00054C	RF Innovations
00054D	Brans
00054E	Philips
00054F	Garmin
000550	Vcomms Connect
000551	F & S Elektronik Systeme
000552	Xycotec Computer
000553	DVC
000554	Rangestar Wireless
000555	Japan Cash Machine
000556	360
000557	Agile TV
000558	Synchronous
000559	Intracom
00055A	Power Dsine
00055B	Charles Industries
00055C	Kowa
00055D	D-Link
00055E	Cisco
00055F	Cisco
000560	Leader Comm.Co
000561	nac Image
000562	Digital View
000563	J-Works
000564	Tsinghua Bitway
000565	Tailyn Communication
000566	Secui.com
000567	Etymonic Design
000568	Piltofish
000569	VMware
00056A	Heuft Systemtechnik
00056B	C.P
00056C	Hung Chang
00056D	Pacific
00056E	National Enhance
00056F	Innomedia Technologies P
000570	Baydel
000571	Seiwa
000572	Deonet
000573	Cisco
000574	Cisco
000575	CDS-Electronics
000576	NSM
000577	SM Information & Communi
000578	Private
000579	Universal Control Soluti
00057A	Overture
00057B	Chung Nam
00057C	RCO Security
00057D	Sun
00057E	Eckelmann
00057F	Acqis
000580	FibroLAN
000581	Snell
000582	ClearCube
000583	ImageCom
000584	AbsoluteValue
000585	Juniper
000586	Lucent
000587	Locus
000588	Sensoria
000589	National Datacomputer
00058A	Netcom
00058B	IPmental
00058C	Opentech
00058D	Lynx Photonic
00058E	Flextronics Internationa
00058F	CLCsoft
000590	Swissvoice
000591	Active Silicon
000592	Pultek
000593	Grammar Engine
000594	HMS
000595	Alesis
000596	Genotech
000597	Eagle Traffic Control
000598	CRONOS S.r.l
000599	DRS Test and Energy Mana
00059A	Cisco
00059B	Cisco
00059C	Kleinknecht GmbH Ing. Bü
00059D	Daniel Computing
00059E	Zinwell
00059F	Yotta
0005A0	MOBILINE Kft
0005A1	Zenocom
0005A2	CELOX
0005A3	QEI
0005A4	Lucid Voice
0005A5	Kott
0005A6	Extron
0005A7	HYPERCHIP
0005A8	Wyle
0005A9	Princeton
0005AA	Moore Industries
0005AB	Cyber Fone
0005AC	Northern Digital
0005AD	Topspin
0005AE	Mediaport
0005AF	InnoScan Computing A/S
0005B0	Korea Computer
0005B1	ASB
0005B2	Medison
0005B3	Asahi-Engineering
0005B4	Aceex
0005B5	Broadcom
0005B6	INSYS Microelectronics
0005B7	Arbor
0005B8	Electronic Design Associ
0005B9	Airvana
0005BA	XK22 Enterprises
0005BB	Myspace
0005BC	Resource Data Management
0005BD	Roax
0005BE	Kongsberg Seatex
0005BF	JustEzy
0005C0	Digital Network Alacarte
0005C1	A-Kyung Motion
0005C2	Soronti
0005C3	Pacific Instruments
0005C4	Telect
0005C5	Flaga HF
0005C6	Triz
0005C7	I/F-Com A/S
0005C8	Verytech
0005C9	LG Innotek
0005CA	Hitron
0005CB	ROIS
0005CC	Sumtel
0005CD	D&M
0005CE	Prolink Microsystems
0005CF	Thunder River
0005D0	Solinet
0005D1	Metavector
0005D2	DAP
0005D3	eProduction Solutions
0005D4	FutureSmart
0005D5	Speedcom Wireless
0005D6	L-3 Linkabit
0005D7	Vista Imaging
0005D8	Arescom
0005D9	Techno Valley
0005DA	Apex Automationstechnik
0005DB	PSI Software SE
0005DC	Cisco
0005DD	Cisco
0005DE	Gi Fone Korea
0005DF	Electronic Innovation
0005E0	Empirix
0005E1	Trellis Photonics
0005E2	Creativ Network
0005E3	LightSand
0005E4	Red Lion Controls
0005E5	Renishaw
0005E6	Egenera
0005E7	Netrake an AudioCodes
0005E8	TurboWave
0005E9	Unicess Network
0005EA	Rednix
0005EB	Blue Ridge
0005EC	Mosaic
0005ED	Technikum Joanneum
0005EE	Vanderbilt International
0005EF	ADOIR Digital
0005F0	Satec
0005F1	Vrcom
0005F2	Power R
0005F3	Webyn
0005F4	System Base
0005F5	Geospace
0005F6	Young Chang
0005F7	Analog Devices
0005F8	Real Time Access
0005F9	TOA
0005FA	IPOptical
0005FB	ShareGate
0005FC	Schenck Pegasus
0005FD	PacketLight
0005FE	Traficon N.V
0005FF	SNS Solutions
000600	Toshiba Teli
000601	Otanikeiki
000602	Cirkitech
000603	Baker Hughes
000604	@Track
000605	Inncom
000606	RapidWAN
000607	Omni Directional Control
000608	At-Sky
000609	Crossport
00060A	Blue2space
00060B	Artesyn Embedded
00060C	Melco Industries
00060D	Wave7 Optics
00060E	IGYS
00060F	Narad
000610	Abeona
000611	Zeus Wireless
000612	Accusys
000613	Kawasaki Microelectronic
000614	Prism
000615	Kimoto Electric
000616	Tel Net
000617	Redswitch
000618	DigiPower Manufacturing
000619	Connection
00061A	Zetari
00061B	Notebook Development Lab
00061C	Hoshino Metal Industries
00061D	MIP Telecom
00061E	Maxan
00061F	Vision Components
000620	Serial System
000621	Hinox
000622	Chung Fu Chen Yeh Enterp
000623	MGE UPS Systems France
000624	Gentner
000625	The Linksys
000626	MWE
000627	Uniwide
000628	Cisco
000629	IBM
00062A	Cisco
00062B	Intraserver
00062C	Bivio
00062D	TouchStar Technologies L
00062E	Aristos Logic
00062F	Pivotech
000630	Adtranz Sweden
000631	Calix
000632	Mesco Engineering
000633	Crossmatch Technologies/
000634	GTE Airfone
000635	PacketAir
000636	Jedai Broadband
000637	Toptrend-Meta Informatio
000638	Sungjin C&C
000639	Newtec
00063A	Dura Micro
00063B	Arcturus
00063C	Intrinsyc Software
00063D	Microwave Data
00063E	Opthos
00063F	Everex
000640	White Rock
000641	Itcn
000642	Genetel
000643	SONO Computer
000644	NextGen Business Solutio
000645	Meisei Electric
000646	XunBao Network
000647	Etrali
000648	Seedsware
000649	3M Deutschland
00064A	Honeywell Co. Ltd. (KORE
00064B	Alexon
00064C	Invicta
00064D	Sencore
00064E	Broad Net
00064F	PRO-NETS
000650	Tiburon
000651	Aspen
000652	Cisco
000653	Cisco
000654	Winpresa Building Automa
000655	Yipee
000656	Tactel
000657	Market Central
000658	Helmut Fischer GmbH Inst
000659	EAL (Apeldoorn)
00065A	Strix
00065B	Dell
00065C	Malachite
00065D	Heidelberg Web
00065E	Photuris
00065F	ECI Telecom
000660	NADEX
000661	NIA Home
000662	MBM
000663	Human
000664	Fostex
000665	Sunny Giken
000666	Roving
000667	Tripp Lite
000668	Vicon Industries
000669	Datasound Laboratories
00066A	InfiniCon
00066B	Sysmex
00066C	Robinson
00066D	Compuprint S.P.A
00066E	Delta
00066F	Korea Data
000670	Upponetti
000671	Softing
000672	Netezza
000673	TKH Security Solutions
000674	Spectrum Control
000675	Banderacom
000676	Novra
000677	Sick
000678	D&M
000679	Konami
00067A	JMP
00067B	Toplink C&C
00067C	Cisco
00067D	Takasago
00067E	WinCom
00067F	Digeo
000680	Card Access
000681	Goepel
000682	Convedia
000683	Bravara
000684	Biacore
000685	NetNearU
000686	ZARDCOM
000687	Omnitron
000688	Telways Communication
000689	yLez Technologies Pte
00068A	NeuronNet Co. Ltd. R&D C
00068B	AirRunner
00068C	3Com
00068D	SEPATON
00068E	HID
00068F	Telemonitor
000690	Euracom Communication
000691	PT Inovacao
000692	Intruvert
000693	Flexus Computer
000694	Mobillian
000695	Ensure
000696	Advent
000697	R & D Center
000698	egnite
000699	Vida Design
00069A	e & Tel
00069B	AVT Audio Video
00069C	Transmode
00069D	Petards
00069E	UNIQA
00069F	Kuokoa
0006A0	Mx Imaging
0006A1	Celsian
0006A2	Microtune
0006A3	Bitran
0006A4	INNOWELL
0006A5	PINON
0006A6	Artistic Licence Enginee
0006A7	Primarion
0006A8	KC
0006A9	Universal Instruments
0006AA	VT Miltope
0006AB	W-Link
0006AC	Intersoft
0006AD	KB
0006AE	Himachal Futuristic
0006AF	Xalted
0006B0	Comtech EF Data
0006B1	Sonicwall
0006B2	Linxtek
0006B3	Diagraph
0006B4	Vorne Industries
0006B5	Source Photonics
0006B6	Nir-Or Israel
0006B7	TELEM
0006B8	Bandspeed
0006B9	A5TEK
0006BA	Westwave
0006BB	ATI
0006BC	Macrolink
0006BD	BNTECHNOLOGY
0006BE	Baumer Optronic
0006BF	Accella
0006C0	United Internetworks
0006C1	Cisco
0006C2	Smartmatic
0006C3	Schindler Elevator
0006C4	Piolink
0006C5	INNOVI
0006C6	lesswire
0006C7	RFNET Technologies Pte L
0006C8	Sumitomo Metal Micro Dev
0006C9	Technical Marketing Rese
0006CA	American Computer & Digi
0006CB	Jotron Electronics A/S
0006CC	JMI
0006CD	Leaf Imaging
0006CE	Dateno
0006CF	Thales Avionics In-Fligh
0006D0	Elgar
0006D1	Tahoe
0006D2	Tundra Semiconductor
0006D3	Alpha Telecom Inc. U.S.A
0006D4	Interactive Objects
0006D5	Diamond
0006D6	Cisco
0006D7	Cisco
0006D8	Maple Optical
0006D9	IPM-Net S.p.A
0006DA	ITRAN
0006DB	ICHIPS
0006DC	Syabas Technology (Amque
0006DD	AT & T Laboratories - Ca
0006DE	Flash
0006DF	AIDONIC
0006E0	MAT
0006E1	Techno Trade
0006E2	Ceemax
0006E3	Quantitative Imaging
0006E4	Citel
0006E5	Fujian Newland Computer
0006E6	DongYang Telecom
0006E7	Bit Blitz
0006E8	Optical Network Testing
0006E9	Intime
0006EA	ELZET80 Mikrocomputer Gm
0006EB	Global Data
0006EC	Harris
0006ED	Inara
0006EE	Shenyang Neu-era Informa
0006EF	Maxxan
0006F0	Digeo
0006F1	Optillion
0006F2	Platys
0006F3	AcceLight
0006F4	Prime Electronics & Sate
0006F5	Alpsalpine Co .Ltd
0006F6	Cisco
0006F7	Alpsalpine Co .Ltd
0006F8	The Boeing
0006F9	Mitsui Zosen Systems Res
0006FA	IP SQUARE
0006FB	Hitachi Printing Solutio
0006FC	Fnet
0006FD	Comjet Information
0006FE	Ambrado
0006FF	Sheba
000700	Zettamedia Korea
000701	Racal-Datacom
000702	Varex Imaging
000703	CSEE Transport
000704	Alpsalpine Co .Ltd
000705	Endress & Hauser GmbH &
000706	Sanritz
000707	Interalia
000708	Bitrage
000709	Westerstrand Urfabrik
00070A	Unicom Automation
00070B	Novabase SGPS
00070C	SVA-Intrusion.com
00070D	Cisco
00070E	Cisco
00070F	Fujant
000710	Adax
000711	Acterna
000712	JAL Information
000713	IP One
000714	Brightcom
000715	General Research of
000716	J & S Marine
000717	Wieland Electric
000718	iCanTek
000719	Mobiis
00071A	Finedigital
00071B	CDVI Americas
00071C	At&T
00071D	Satelsa Sistemas Y Aplic
00071E	Tri-M Engineering / Nupa
00071F	European Systems Integra
000720	Trutzschler GmbH &
000721	Formac Elektronik
000722	The Nielsen
000723	ELCON Systemtechnik
000724	Telemax
000725	Bematech
000726	Gongjin Electronics Co.
000727	Zi Corporation (HK)
000728	Neo Telecom
000729	Kistler Instrumente
00072A	Innovance
00072B	Jung Myung Telecom
00072C	Fabricom
00072D	CNSystems
00072E	North Node
00072F	Intransa
000730	Hutchison OPTEL Telecom
000731	Ophir-Spiricon
000732	AAEON
000733	DANCONTROL Engineering
000734	ONStor
000735	Flarion
000736	Data Video
000737	Soriya
000738	Young
000739	Scotty Group Austria
00073A	Inventel
00073B	Tenovis GmbH &
00073C	Telecom Design
00073D	Nanjing Postel Telecommu
00073E	China Great-Wall Compute
00073F	Woojyun Systec
000740	Buffalo.Inc
000741	Sierra Automated
000742	Ormazabal
000743	Chelsio
000744	Unico
000745	Radlan Computer
000746	TURCK
000747	Mecalc
000748	The Imaging Source Europ
000749	CENiX
00074A	Carl Valentin
00074B	Daihen
00074C	Beicom
00074D	Zebra
00074E	IPFRONT
00074F	Cisco
000750	Cisco
000751	m-u-t
000752	Rhythm Watch
000753	Qxcomm
000754	Xyterra Computing
000755	Lafon
000756	Juyoung Telecom
000757	Topcall
000758	DragonWave
000759	Boris Manufacturing
00075A	Air Products and Chemica
00075B	Gibson Guitars
00075C	Eastman Kodak
00075D	Celleritas
00075E	Ametek Power Instruments
00075F	VCS Video Communication
000760	TOMIS Information & Tele
000761	29530
000762	Group Sense
000763	Sunniwell Cyber
000764	YoungWoo Telecom
000765	Jade Quantum
000766	Chou Chin
000767	Yuxing
000768	Danfoss A/S
000769	Italiana Macchi
00076A	NEXTEYE
00076B	Stralfors
00076C	Daehanet
00076D	Flexlight
00076E	Sinetica
00076F	Synoptics
000770	Ubiquoss
000771	Embedded System
000772	Alcatel-Lucent Shanghai
000773	Ascom Powerline
000774	Thinker
000775	Valence Semiconductor
000776	Federal APD
000777	Motah
000778	GERSTEL GmbH &
000779	Sungil Telecom
00077A	Infoware System
00077B	Millimetrix Broadband
00077C	Westermo Network
00077D	Cisco
00077E	Elrest
00077F	J
000780	Bluegiga
000781	Itron
000782	Oracle
000783	SynCom Network
000784	Cisco
000785	Cisco
000786	Wireless
000787	Idea System
000788	Clipcomm
000789	Allradio
00078A	Mentor Data System
00078B	Wegener
00078C	Elektronikspecialisten i
00078D	NetEngines
00078E	Garz & Fricke
00078F	Emkay Innovative Product
000790	Tri-M Technologies (s)
000791	International Data
000792	Sütron
000793	Shin Satellite Public
000794	Simple Devices
000795	Elitegroup Computer
000796	LSI
000797	Netpower
000798	Selea
000799	Tipping Point
00079A	Verint
00079B	Aurora
00079C	Golden
00079D	Musashi
00079E	Ilinx
00079F	Action Digital
0007A0	e-Watch
0007A1	VIASYS Healthcare
0007A2	Opteon
0007A3	Ositis Software
0007A4	GN Netcom
0007A5	Y.D.K
0007A6	Leviton Manufacturing
0007A7	Glory Technical Solution
0007A8	Haier
0007A9	Novasonics
0007AA	Quantum Data
0007AB	Samsung
0007AC	Eolring
0007AD	Pentacon GmbH Foto-und F
0007AE	Britestream
0007AF	Red Lion Controls LP
0007B0	Office Details
0007B1	Equator
0007B2	Transaccess
0007B3	Cisco
0007B4	Cisco
0007B5	Any One Wireless
0007B6	Telecom
0007B7	Samurai Ind. Prods Eletr
0007B8	Corvalent
0007B9	Ginganet
0007BA	UTStarcom
0007BB	Candera
0007BC	Identix
0007BD	Radionet
0007BE	DataLogic
0007BF	Armillaire
0007C0	NetZerver
0007C1	Overture
0007C2	Netsys Telecom
0007C3	Thomson
0007C4	JEAN
0007C5	Gcom
0007C6	VDS Vosskuhler
0007C7	Synectics
0007C8	Brain21
0007C9	Technol Seven
0007CA	Creatix Polymedia Ges Fu
0007CB	Freebox
0007CC	dormakaba Deutschland
0007CD	Kumoh
0007CE	Cabletime
0007CF	Anoto
0007D0	Automat Engenharia de Au
0007D1	Spectrum Signal Processi
0007D2	Logopak Systeme GmbH &
0007D3	SPGPrints
0007D4	Yutong Network Communica
0007D5	3e Technologies Int;
0007D6	Commil
0007D7	Caporis
0007D8	Hitron
0007D9	Splicecom
0007DA	Neuro Telecom
0007DB	Kirana
0007DC	Atek
0007DD	Cradle
0007DE	eCopilt
0007DF	Vbrick
0007E0	Palm
0007E1	WIS
0007E2	Bitworks
0007E3	Navcom
0007E4	SoftRadio
0007E5	Coup
0007E6	edgeflow Canada
0007E7	FreeWave
0007E8	EdgeWave
0007E9	Intel
0007EA	Massana
0007EB	Cisco
0007EC	Cisco
0007ED	Altera
0007EE	telco Informationssystem
0007EF	Lockheed Martin Tactical
0007F0	LogiSync
0007F1	TeraBurst
0007F2	IOA
0007F3	Thinkengine
0007F4	Eletex
0007F5	Bridgeco
0007F6	Qqest Software
0007F7	Galtronics
0007F8	ITDevices
0007F9	Sensaphone
0007FA	ITT
0007FB	Giga Stream UMTS
0007FC	Adept
0007FD	LANergy
0007FE	Rigaku
0007FF	Gluon
000800	Multitech
000801	HighSpeed Surfing
000802	Hewlett Packard
000803	Cos Tron
000804	ICA
000805	Techno-Holon
000806	Raonet
000807	Access Devices
000808	PPT Vision
000809	Systemonic
00080A	Espera-Werke
00080B	Birka BPA Informationssy
00080C	VDA Group S.p.a
00080D	Toshiba
00080E	Commscope
00080F	Proximion Fiber Optics
000810	Key
000811	VOIX
000812	GM-2
000813	Diskbank
000814	TIL
000815	CATS
000816	Bluelon ApS
000817	EmergeCore
000818	Pixelworks
000819	Banksys
00081A	Sanrad Intelligence Stor
00081B	Windigo
00081C	@pos.com
00081D	Ipsil
00081E	Repeatit
00081F	Pou Yuen
000820	Cisco
000821	Cisco
000822	InPro Comm
000823	Texa
000824	Nuance Document Imaging
000825	Acme Packet
000826	Colorado Med
000827	ADB Broadband Italia
000828	Koei Engineering
000829	Tokyo Electron Device Na
00082A	Powerwallz Network Secur
00082B	Wooksung
00082C	Homag
00082D	Indus Teqsite Private
00082E	Multitone
00082F	Cisco
000830	Cisco
000831	Cisco
000832	Cisco
00084E	DivergeNet
00084F	Qualstar
000850	Arizona Instrument
000851	Canadian Bank Note
000852	Davolink
000853	Schleicher GmbH & Co. Re
000854	Netronix
000855	NASA-Goddard Space Fligh
000856	Gamatronic Electronic In
000857	Polaris
000858	Novatechnology
000859	Unitone
00085A	IntiGate
00085B	Hanbit
00085C	Dare
00085D	Mitel
00085E	Pco
00085F	Picanol N.V
000860	LodgeNet Entertainment
000861	SoftEnergy
000862	NEC Eluminant
000863	Entrisphere
000864	Fasy S.p.A
000865	Jascom
000866	DSX Access
000867	Uptime Devices
000868	PurOptix
000869	Command-e
00086A	Securiton
00086B	Mipsys
00086C	Plasmon LMS
00086D	Missouri FreeNet
00086E	Hyglo
00086F	Resources Computer Netwo
000870	Rasvia
000871	NORTHDATA
000872	Sorenson
000873	DapTechnology
000874	Dell
000875	Acorp
000876	SDSystem
000877	Liebert-Hiross
000878	Benchmark Storage Innova
000879	CEM
00087A	Wipotec
00087B	RTX Telecom A/S
00087C	Cisco
00087D	Cisco
00087E	Bon Electro-Telecom
00087F	SPAUN electronic GmbH &
000880	BroadTel Canada
000881	Digital Hands
000882	Sigma
000883	Hewlett Packard
000884	Index Braille
000885	EMS Dr. Thomas Wünsche
000886	Hansung Teliann
000887	Maschinenfabrik Reinhaus
000888	OULLIM Information Techn
000889	Dish
00088A	Minds@Work
00088B	Tropic
00088C	Quanta Network
00088D	Sigma-Links
00088E	Nihon Computer
00088F	Advanced Digital
000890	Avilinks
000891	Lyan
000892	EM Solutions
000893	Le Information Communica
000894	InnoVISION Multimedia
000895	DIRC Technologie GmbH &
000896	Printronix
000897	Quake
000898	Gigabit Optics
000899	Netbind
00089A	Alcatel Microelectronics
00089B	ICP
00089C	Elecs Industry
00089D	UHD-Elektronik
00089E	Enter-Net co.LTD
00089F	EFM
0008A0	Stotz Feinmesstechnik
0008A1	CNet
0008A2	ADI Engineering
0008A3	Cisco
0008A4	Cisco
0008A5	Peninsula
0008A6	Multiware & Image
0008A7	iLogic
0008A8	Systec
0008A9	SangSang
0008AA	Karam
0008AB	EnerLinx.com
0008AC	BST
0008AD	Toyo-Linx
0008AE	PacketFront Network Prod
0008AF	Novatec
0008B0	HUBER+SUHNER BKtel
0008B1	ProQuent
0008B2	Compass Technology Devel
0008B3	Fastwel
0008B4	Syspol
0008B5	Tai Guen Enterprise
0008B6	RouteFree
0008B7	HIT
0008B8	E.F. Johnson
0008B9	Kaon
0008BA	Erskine
0008BB	NetExcell
0008BC	Ilevo
0008BD	Tepg-Us
0008BE	XENPAK MSA
0008BF	Aptus Elektronik
0008C0	Asa
0008C1	Avistar
0008C2	Cisco
0008C3	Contex A/S
0008C4	Hikari
0008C5	Liontech
0008C6	Philips Consumer
0008C7	Hewlett Packard
0008C8	Soneticom
0008C9	TechniSat Digital GmbH D
0008CA	TwinHan
0008CB	Zeta Broadband
0008CC	Remotec
0008CD	With-Net
0008CE	IPMobileNet
0008CF	Nippon Koei Power
0008D0	Musashi Engineering
0008D1	Karel
0008D2	ZOOM
0008D3	Hercules Technologies S.
0008D4	IneoQuest
0008D5	Vanguard Networks Soluti
0008D6	HASSNET
0008D7	How
0008D8	Dowkey Microwave
0008D9	Mitadenshi
0008DA	SofaWare
0008DB	Corrigent
0008DC	Wiznet
0008DD	Telena
0008DE	3UP
0008DF	Alistel
0008E0	ATO
0008E1	Barix
0008E2	Cisco
0008E3	Cisco
0008E4	Envenergy
0008E5	IDK
0008E6	Littlefeet
0008E7	SHI ControlSystems
0008E8	Excel Master
0008E9	NextGig
0008EA	Motion Control Engineeri
0008EB	ROMWin
0008EC	Optical Zonu
0008ED	ST&T Instrument
0008EE	Logic Product Developmen
0008EF	Dibal
0008F0	Next Generation
0008F1	Voltaire
0008F2	C&S
0008F3	Wany
0008F4	Bluetake
0008F5	YESTECHNOLOGY
0008F6	Sumitomo Electric Indust
0008F7	Hitachi Ltd Semiconducto
0008F8	Utc Ccs
0008F9	Artesyn Embedded
0008FA	KEB Automation
0008FB	SonoSite
0008FC	Gigaphoton
0008FD	BlueKorea
0008FE	UNIK C&C
0008FF	Trilogy
000900	Tmt
000901	Shixuntong Information &
000902	Redline
000903	Panasas
000904	MONDIAL
000905	iTEC
000906	Esteem
000907	Chrysalis Development
000908	VTech
000909	Telenor Connect A/S
00090A	SnedFar
00090B	MTL Instruments
00090C	Mayekawa Mfg
00090D	Leader
00090E	Helix
00090F	Fortinet
000910	Simple Access
000911	Cisco
000912	Cisco
000913	SystemK
000914	Computrols
000915	CAS
000916	Listman Home
000917	WEM
000918	Samsung Techwin
000919	MDS Gateways
00091A	Macat Optics &
00091B	Digital Generation
00091C	CacheVision
00091D	Proteam Computer
00091E	Firstech
00091F	A&D
000920	EpoX COMPUTER
000921	Planmeca
000922	TST Biometrics
000923	Heaman System
000924	Telebau
000925	VSN Systemen
000926	Yoda
000927	Toyokeiki
000928	Telecore
000929	Sanyo Industries (UK)
00092A	MYTECS
00092B	iQstor
00092C	Hitpoint
00092D	HTC
00092E	B&Tech System
00092F	Akom
000930	AeroConcierge
000931	Future Internet
000932	Omnilux
000933	Ophit Co.Ltd
000934	Dream-Multimedia-Tv
000935	Sandvine
000936	Ipetronik GmbH &
000937	Inventec Appliance
000938	Allot
000939	ShibaSoku
00093A	Molex CMS
00093B	Hyundai
00093C	Jacques Technologies P/L
00093D	Newisys
00093E	C&I
00093F	Double-Win Enterpirse
000940	AGFEO GmbH &
000941	Allied Telesis K.K
000942	Wireless
000943	Cisco
000944	Cisco
000945	Palmmicro
000946	Cluster Labs
000947	Aztek
000948	Vista Control
000949	Glyph
00094A	Homenet
00094B	FillFactory
00094C	Communication Weaver
00094D	Braintree
00094E	Bartech
00094F	elmegt GmbH &
000950	Independent Storage
000951	Apogee Imaging
000952	Auerswald GmbH &
000953	Linkage System Integrati
000954	AMiT spol. s. r. o
000955	Young Generation
000956	Network Systems Group Lt
000957	Supercaller
000958	Intelnet
000959	Sitecsoft
00095A	Racewood
00095B	Netgear
00095C	Philips Medical Systems
00095D	Dialogue
00095E	Masstech
00095F	Telebyte
000960	YOZAN
000961	Switchgear and Instrumen
000962	Sonitor
000963	Dominion Lasercom
000964	Hi-Techniques
000965	HyunJu Computer
000966	Trimble Europe
000967	Tachyon
000968	Technoventure
000969	Meret Optical
00096A	Cloverleaf
00096B	IBM
00096C	Imedia Semiconductor
00096D	Powernet
00096E	Giant
00096F	Zhongqing Elegant
000970	Vibration Research
000971	Time Management
000972	Securebase
000973	Lenten
000974	Innopia
000975	fSONA
000976	Datasoft ISDN
000977	Brunner Elektronik
000978	AIJI System
